Name,Stream,Bin Number,Stream Character,Zone,geometry
2144AR,Recycle,144,R,2,"c(-118.443757250309, 34.073328512595, 0)"
2146AS,Landfill,146,S,2,"c(-118.443754682129, 34.0733331957221, 0)"
2147AC,Compost,147,C,2,"c(-118.443754682129, 34.0733331957221, 0)"
2149FL,Landfill,149,L,2,"c(-118.443532076872, 34.0737437328377, 0)"
2150FR,Recycle,150,R,2,"c(-118.443532076872, 34.0737437328377, 0)"
2151DR,Recycle,151,R,2,"c(-118.443799605214, 34.0737951161475, 0)"
2152FL,Landfill,152,L,2,"c(-118.444098159655, 34.0737994313244, 0)"
2153FR,Recycle,153,R,2,"c(-118.44408742566, 34.0738036474314, 0)"
2154DL,Landfill,154,L,2,"c(-118.44380181651, 34.0738039604296, 0)"
2155DC,Compost,155,C,2,"c(-118.44380181651, 34.0738039604296, 0)"
2158FL,Landfill,158,L,2,"c(-118.450626826179, 34.0752197569587, 0)"
2159FR,Recycle,159,R,2,"c(-118.450621084572, 34.075227366466, 0)"
2079DC,Compost,079,C,2,"c(-118.449188784828, 34.0710059098043, 136.119694444733)"
2114DC,Compost,114,C,2,"c(-118.44937074856, 34.0716688581004, 128.172846709799)"
2081DL,Landfill,081,L,2,"c(-118.44917535806, 34.0710104850799, 129.964203000452)"
2113DL,Landfill,113,L,2,"c(-118.449335928809, 34.0716677231527, 137.215012473975)"
2077DR,Recycle,077,R,2,"c(-118.44916682902, 34.0710007146442, 130.005354114691)"
2112DR,Recycle,112,R,2,"c(-118.449369096302, 34.0716635822355, 128.195762487237)"
2139FL,Landfill,139,L,2,"c(-118.445079360649, 34.0732102895852, 122.449001969702)"
2010FL,Landfill,010,L,2,"c(-118.447737590995, 34.0691570688653, 111.592612355849)"
2157FL,Landfill,157,L,2,"c(-118.443529861024, 34.0739107271887, 128.299867977211)"
2106FL,Landfill,106,L,2,"c(-118.444750789979, 34.0712612301241, 119.199542372333)"
2136FL,Landfill,136,L,2,"c(-118.447935521945, 34.073115902354, 142.978965244505)"
2011FR,Recycle,011,R,2,"c(-118.447737590995, 34.0691570688653, 116.821668531131)"
2137FR,Recycle,137,R,2,"c(-118.447911297222, 34.0731196656039, 125.990677189852)"
2138FR,Recycle,138,R,2,"c(-118.445065608409, 34.0732070381249, 122.347322292086)"
